study_hours,attendance,previous_score,sleep_hours,assignments_completed,parental_support,extra_classes,final_marks
7.2,91.6,45.1,6.3,9,High,No,67.4
6.3,85.4,54.6,5.8,7,Medium,No,53.9
3.1,85.2,64.1,3.8,7,Medium,No,44.2
1.5,84.2,27.1,6.3,5,Medium,No,25.0
0.0,64.8,65.6,7.2,0,Low,Yes,23.6
3.4,86.4,90.5,,4,High,No,45.7
9.3,61.7,55.2,8.9,8,Low,Yes,64.7
5.4,68.5,65.9,6.8,8,Medium,No,54.1
3.4,93.6,77.4,8.2,6,Medium,Yes,54.7
5.4,88.1,59.5,,7,Low,No,49.4
1.4,95.8,53.3,7.7,0,Low,No,34.3
3.9,74.7,27.9,7.1,5,Medium,No,26.9
4.7,64.2,71.6,8.3,5,,Yes,46.0
4.3,75.1,60.3,6.9,9,Medium,No,43.8
6.1,79.2,46.8,7.3,3,Medium,Yes,56.2
5.2,78.9,63.9,7.2,2,Low,No,48.7
5.8,91.6,53.2,6.5,3,Low,No,35.7
3.1,73.7,54.1,7.2,1,High,No,32.2
6.3,82.2,71.1,9.3,6,High,Yes,63.1
7.8,66.1,41.9,6.5,7,Low,No,45.2
2.6,83.4,77.7,7.3,8,High,No,47.2
2.7,,41.0,8.2,10,Medium,No,49.2
7.2,69.0,52.1,8.1,0,Medium,No,49.1
4.1,75.2,90.8,6.8,2,Medium,No,53.8
7.3,75.8,78.9,4.2,3,Medium,Yes,54.9
3.6,74.8,63.5,7.4,2,High,No,48.2
7.4,99.3,47.9,4.4,9,Medium,No,54.6
4.8,76.8,54.1,8.4,1,Medium,Yes,43.7
5.0,75.1,63.1,7.0,0,Medium,No,46.9
7.6,52.8,62.6,7.9,9,Low,No,47.1
3.8,67.3,60.6,5.8,10,Medium,Yes,54.8
2.6,74.8,61.5,5.1,2,Low,Yes,35.2
3.6,69.8,58.8,7.1,3,Medium,Yes,47.9
5.4,94.6,40.4,6.8,5,,No,38.1
1.4,76.0,54.3,6.3,5,Low,Yes,28.4
5.8,93.5,75.7,6.9,10,Medium,No,57.7
3.4,78.7,41.5,9.8,4,Medium,Yes,40.7
6.8,78.4,59.2,7.7,0,Medium,Yes,52.4
,76.9,49.7,8.0,4,Low,Yes,25.9
2.9,78.0,63.7,7.7,6,Medium,No,39.8
1.1,98.6,56.2,8.4,5,Medium,No,33.7
2.8,50.2,84.2,6.6,5,Medium,Yes,45.1
5.0,54.0,69.6,4.5,10,Medium,No,46.3
4.1,71.5,42.3,6.6,8,Medium,No,37.6
4.0,78.2,72.1,7.7,2,Medium,Yes,55.9
4.2,86.3,50.4,5.7,3,High,Yes,45.3
4.9,83.7,53.3,6.6,7,High,No,56.7
2.5,73.4,66.7,6.0,4,Medium,No,37.0
5.9,90.2,54.6,8.5,4,Medium,No,52.9
5.8,90.4,75.4,7.6,1,Low,No,51.7
5.3,80.2,50.4,7.5,2,High,No,39.7
5.6,89.6,52.7,7.5,8,Medium,Yes,61.5
5.1,81.3,52.2,6.8,9,Medium,Yes,51.3
8.6,71.3,53.5,7.0,8,High,No,65.4
4.3,86.4,78.5,5.5,3,Medium,No,46.3
3.9,79.3,71.4,4.4,1,Low,Yes,40.0
3.0,78.0,87.6,7.0,1,Low,Yes,42.1
2.4,95.7,96.0,7.2,4,Low,Yes,58.4
2.0,48.6,46.5,8.1,5,Medium,No,31.5
2.7,61.0,63.1,8.5,9,Low,Yes,44.2
4.4,63.8,44.4,8.5,9,High,No,52.6
5.2,73.6,50.3,5.7,0,High,No,47.0
4.6,74.9,52.5,6.4,7,Medium,Yes,50.4
3.0,59.9,46.1,7.3,3,Medium,No,26.2
6.3,66.2,46.2,9.6,2,Medium,No,41.1
6.0,67.7,59.8,8.4,6,Low,No,44.0
4.2,100.0,43.7,8.0,0,Medium,No,44.3
3.2,99.6,74.6,6.4,3,Low,No,46.2
5.6,73.1,48.2,5.8,6,Low,Yes,37.6
4.9,73.6,100.0,7.7,2,Medium,No,57.1
1.6,64.2,55.2,5.6,6,Low,No,22.7
4.4,55.1,63.1,6.5,5,Medium,Yes,44.3
5.0,76.6,42.6,6.7,8,Medium,No,37.2
2.7,66.0,87.6,8.6,1,High,Yes,52.4
4.9,77.0,78.8,6.4,0,Medium,No,50.1
1.6,58.8,66.5,4.1,5,High,No,44.0
7.2,68.9,41.8,7.4,2,Medium,No,49.3
7.0,79.8,65.2,6.0,7,High,Yes,60.2
4.0,82.4,45.2,6.8,1,Medium,No,40.8
5.2,83.0,83.9,6.7,6,Low,Yes,50.6
0.0,62.2,74.1,6.5,10,High,No,36.4
2.2,88.3,63.4,7.7,1,Medium,No,40.9
3.9,68.4,25.5,5.1,3,Low,No,15.1
2.4,85.6,47.2,6.2,9,Low,No,36.6
5.9,77.9,72.3,7.6,5,Medium,No,51.1
8.5,61.5,80.2,6.1,1,Medium,No,58.6
2.1,74.2,78.6,5.0,2,Medium,No,34.2
2.8,82.4,38.1,7.5,8,High,Yes,45.1
5.0,85.4,66.5,8.0,9,Medium,No,56.4
7.7,76.3,77.2,6.8,3,Medium,No,66.2
2.1,96.4,37.1,4.6,5,Medium,No,32.0
,90.1,61.9,7.6,8,High,No,53.9
8.1,74.9,66.1,5.0,1,Low,No,49.3
1.2,87.0,57.5,7.1,2,Low,Yes,27.2
1.9,100.0,34.2,5.8,8,Medium,No,37.0
3.7,100.0,57.1,5.5,2,Medium,Yes,47.2
3.5,63.3,57.1,6.3,8,High,No,55.7
6.1,66.9,59.8,6.6,5,Medium,No,46.3
5.0,95.8,53.5,6.1,10,High,Yes,56.5
1.0,65.3,55.4,7.4,0,Medium,No,25.0
5.4,77.8,44.3,5.9,9,Medium,No,42.0
7.2,85.4,50.6,5.2,2,Medium,Yes,48.9
6.0,67.7,59.8,8.4,6,Low,No,44.0
,240.0,86.3,8.8,1,Low,Yes,58.8
4.9,77.0,19.0,6.2,5,Low,No,31.0
2.3,64.9,73.7,7.9,8,High,No,46.6
